104-87-0	Cc1ccc(C=O)cc1
491-35-0	Cc1ccnc2ccccc12
100-01-6	Nc1ccc(cc1)[N+]([O-])=O
100-02-7	Oc1ccc(cc1)[N+]([O-])=O
56-57-5	[O-][N+](=O)c1cc[n+]([O-])c2ccccc12
64091-91-4	CN(CCCC(=O)c1cccnc1)N=O
104-40-5	CCCCCCCCCc1ccc(O)cc1
1806-26-4	CCCCCCCCc1ccc(O)cc1
41743-44-6	CC(C)[C@]1(O)CC[C@]2(C)CC=C(C)C[C@H](OC(=O)c3ccc(O)cc3)[C@@H]12
1821-12-1	OC(=O)CCCc1ccccc1
106-50-3	Nc1ccc(N)cc1
92-69-3	Oc1ccc(cc1)c2ccccc2
140-66-9	CC(C)(C)CC(C)(C)c1ccc(O)cc1
100-40-3	C=CC1CCC=CC1
106-42-3	Cc1ccc(C)cc1
21392-57-4	COc1cc(OC)c2C(=O)C=C(Oc2c1)c3ccccc3
1191-85-1	CCCCCC#CCC#CCC#CCC#CCCCC(O)=O
566-65-4	CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
484-20-8	COc1c2ccoc2cc3OC(=O)C=Cc13
2642-98-0	Nc1cc2c3ccccc3ccc2c4ccccc14
56305-04-5	Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(O)=O
580-16-5	Oc1ccc2ncccc2c1
33458-93-4	CC(C)Oc1ccc2c(Oc3ccc(cc3C2=O)C(O)=O)c1
115039-00-4	Cc1cc(Cl)cc2c1oc3cc(Cl)cc(Cl)c23
91-62-3	Cc1ccc2ncccc2c1
2498-66-0	O=C1c2ccccc2C(=O)c3c4ccccc4ccc13
55097-80-8	OC1C2OC2c3c(cc4ccc5cccc6ccc3c4c56)C1O
93-35-6	Oc1ccc2C=CC(=O)Oc2c1
112953-11-4	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6[C@@H](O)NC(=O)c6c7c8ccccc8n2c7c35
566-28-9	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@]12C)[C@@]4(C)CC[C@H](O)CC4=CC3=O
41941-66-6	Nc1ncnc2n([C@@H]3O[C@@H]4CO[P](O)(=O)O[C@H]4[C@H]3O)c(Sc5ccc(Cl)cc5)nc12
23583-48-4	Nc1ncnc2n([C@@H]3O[C@@H]4CO[P](O)(=O)O[C@H]4[C@H]3O)c(Br)nc12
31356-94-2	NC1=NC(=O)c2nc(Br)n([C@@H]3O[C@@H]4CO[P](O)(=O)O[C@H]4[C@H]3O)c2N1
611-32-5	Cc1cccc2cccnc12
84-11-7	O=C1C(=O)c2ccccc2c3ccccc13
1839-11-8	CCCCCC\C=C/C=C/CCCCCCCC(O)=O
514-85-2	CC(=C/C=O)\C=C\C=C(C)/C=C/C1=C(C)CCCC1(C)C
60203-57-8	CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C\C=C/CCCC(O)=O)C=CC1=O
19685-10-0	CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4cc5cc(OC)ccc5nc34)C2=O
71751-41-2	CCC(C)[C@H]1O[C@@]2(C[C@@H]3C[C@@H](C\C=C(C)\[C@@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)[C@@H](C)/C=C/C=C/6CO[C@@H]7[C@H](O)C(=C[C@@H](C(=O)O3)[C@]67O)C)O2)C=C[C@@H]1C.CO[C@H]8C[C@@H](O[C@@H](C)[C@@H]8O)O[C@H]9[C@H](C)O[C@H](C[C@@H]9OC)O[C@H]/%10[C@@H](C)/C=C/C=C/%11CO[C@@H]%12[C@H](O)C(=C[C@@H](C(=O)O[C@H]%13C[C@@H](C\C=C%10C)O[C@@]%14(C%13)O[C@H](C(C)C)[C@@H](C)C=C%14)[C@]%11%12O)C
480-44-4	COc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)cc3O2
208-96-8	c1cc2cccc3C=Cc(c1)c23
30560-19-1	CO[P](=O)(NC(C)=O)SC
75-07-0	CC=O
64-19-7	CC(O)=O
34256-82-1	CCOCN(C(=O)CCl)c1c(C)cccc1CC
67-64-1	CC(C)=O
14992-62-2	CC(=O)OC(CC([O-])=O)C[N+](C)(C)C
110044-82-1	CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O)C=O
21145-77-7	CC1CC(C)(C)c2cc(C(C)=O)c(C)cc2C1(C)C
13171-00-1	CC(=O)c1cc(cc2c1CCC2(C)C)C(C)(C)C
55079-83-9	COc1cc(C)c(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)c(C)c1C
302-27-2	CCN1C[C@]2(COC)[C@H](O)C[C@H](OC)[C@@]34[C@@H]5C[C@]6(O)[C@@H](OC)[C@H](O)[C@](OC(C)=O)([C@@H]([C@H](OC)[C@H]23)C14)[C@H]5[C@H]6OC(=O)c7ccccc7
79-06-1	NC(=O)C=C
107-13-1	C=CC#N
61276-17-3	C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)\C=C\c4ccc(O)c(O)c4)[C@H](O)[C@H](O)[C@H]1O
142340-99-6	CC(C)(C)C(=O)OCO[P](=O)(COCCn1cnc2c(N)ncnc12)OCOC(=O)C(C)(C)C
58-64-0	Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C3O
68392-35-8	CC/C(c1ccccc1)=C(c2ccc(O)cc2)/c3ccc(OCCN(C)C)cc3
1162-65-8	COc1cc2OC3OC=CC3c2c4OC(=O)C5=C(CCC5=O)c14
1165-39-5	COc1cc2OC3OC=CC3c2c4OC(=O)C5=C(CCOC5=O)c14
81443-73-4	OC(=O)CC\C=C\CCC1C(CC(=O)C1N2CCOCC2)OCc3ccc(cc3)c4ccccc4
3031-94-5	NC(=O)c1ncn(C2OC(CO[P](O)(O)=O)C(O)C2O)c1N
15972-60-8	CCc1cccc(CC)c1N(COC)C(=O)CCl
54965-21-8	CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
18559-94-9	CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
52-39-1	C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@H](C(=O)CO)[C@]4(C[C@H](O)[C@H]23)C=O
309-00-2	ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl
41294-56-8	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)C[C@H](O)C3=C
5300-03-8	CC1=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)(C)CCC1
540-04-5	CC(C)=CCC\C(C)=C\CC\C(C)=C\CC/C(C)=C/C=C/C=C(C)/CC/C=C(C)/CC/C=C(C)/CCC=C(C)C
